4096, 2378, 4096
4352, 2603, 8192
4608, 2807, 8192
4864, 2957, 8192
4992, 3012, 8192
5056, 3024, 8192
5120, 3050, 8192
5376, 3187, 8192
5632, 3339, 8192
9728, 5639, 12288
13824, 8322, 16384
13952, 8374, 16384
14016, 8398, 16384
14080, 8409, 16384
14144, 8418, 16384
14208, 8432, 16384
14464, 8601, 16384
14496, 8609, 16384
14624, 8664, 16384
14752, 8748, 16384
14880, 8791, 16384
16928, 9870, 20480
17440, 10295, 20480
17952, 10665, 20480
18464, 10934, 20480
18592, 10985, 20480
20640, 12980, 24576
22688, 14496, 24576
22752, 14510, 24576
23776, 15108, 24576
23904, 15156, 24576
23968, 15168, 24576
24096, 15231, 24576
24160, 15269, 24576
24416, 15445, 24576
24928, 15898, 28672
24960, 15906, 28672
25024, 15927, 28672
25536, 16274, 28672
26560, 16838, 28672
27584, 17407, 28672
28096, 17729, 28672
28160, 17739, 28672
28224, 17754, 28672
30272, 18945, 32768
30400, 18987, 32768
30464, 18997, 32768
32512, 20140, 32768
32640, 20212, 32768
36736, 23001, 36864
36800, 23013, 36864
37312, 23248, 40960
37568, 23417, 40960
38080, 23873, 40960
40128, 25575, 40960
40640, 26033, 40960
42688, 27061, 45056
43200, 27361, 45056
43712, 27707, 45056
47808, 31078, 49152
47936, 31179, 49152
48192, 31293, 49152
48448, 31479, 49152
49472, 32328, 53248
49984, 32816, 53248
50048, 32830, 53248
50112, 32858, 53248
50240, 32901, 53248
50368, 32942, 53248
51392, 33622, 53248
52416, 34313, 53248
52480, 34331, 53248
52736, 34552, 53248
54784, 35632, 57344
56832, 37414, 57344
56864, 37422, 57344
56992, 37509, 57344
57504, 37969, 61440
57568, 37979, 61440
58592, 38506, 61440
59104, 38759, 61440
63200, 40934, 65536
63328, 40996, 65536
63456, 41080, 65536
63488, 41088, 65536
64000, 41528, 65536
68096, 43979, 69632
68160, 43999, 69632
72256, 47191, 73728
72320, 47202, 73728
72832, 47592, 73728
72896, 47601, 73728
76992, 49641, 77824
77120, 49717, 77824
77184, 49730, 77824
77696, 50189, 77824
78720, 50925, 81920
78848, 50986, 81920
78912, 51011, 81920
78976, 51027, 81920
